epoch,train_loss,val_loss,mAP,mAP50,lr
1,0.9812169710413462,0.33411227086347023,0.19207537174224854,0.3380661904811859,1.7237522536003424e-05
2,0.7664191910222607,0.29296422432996555,0.26035407185554504,0.4513533115386963,3.80770612696945e-05
3,0.6922750126938669,0.2782156818105789,0.2843043804168701,0.493958979845047,7.000483901398972e-05
4,0.664840252423773,0.29490425897215655,0.2623301148414612,0.48340409994125366,0.00010916955558640834
5,0.6562514796692068,0.3043080818153427,0.27247679233551025,0.482042521238327,0.00015084695234013256
6,0.6645268945156836,0.3009498239812737,0.2706839144229889,0.48749876022338867,0.00019000967763771183
7,0.6609594374119926,0.30989401658138116,0.26346534490585327,0.483838826417923,0.00022193371303060367
8,0.6566051158870684,0.2892273215655081,0.28072959184646606,0.5016880035400391,0.0002427682097588711
9,0.640595845588926,0.27986109096133066,0.28285399079322815,0.4965789020061493,0.0002499999997760212
10,0.6195277361428084,0.28780528394404997,0.3059939444065094,0.5511667728424072,0.0002486027433660567
11,0.5969355796493975,0.3098065700538144,0.2874605655670166,0.5099219083786011,0.00024444441708585334
12,0.5647045023181811,0.3118789413731969,0.2943642735481262,0.5402795076370239,0.00023761791107308346
13,0.5494987579668555,0.28098274151722114,0.327942818403244,0.5618194937705994,0.00022827571819161084
14,0.5222446738588375,0.3007133157845743,0.3175916373729706,0.5682060718536377,0.00021662652759289842
15,0.4940020617793779,0.2762638371504709,0.3352009356021881,0.5795137882232666,0.00020293056294521354
16,0.46894738388185553,0.2842527228201221,0.33240455389022827,0.585618257522583,0.00018749376946688515
17,0.4341622183517534,0.2717819704623993,0.35456064343452454,0.6128592491149902,0.00017066097961568577
18,0.39347972424209665,0.2662981535324793,0.36692941188812256,0.6189972162246704,0.00015280821010154317
19,0.360709799306781,0.2658622285384618,0.3799649775028229,0.6241832971572876,0.00013433426229458986
20,0.31921900966826705,0.257780654166273,0.39001908898353577,0.6407502889633179,0.00011565181366155329
21,0.2834816338921509,0.2767122322749235,0.39300140738487244,0.6451846361160278,9.71781992330785e-05
22,0.24467179982685575,0.2715408818539745,0.4044644832611084,0.6649609804153442,7.932608902876864e-05
23,0.20984721297667283,0.2879490576639861,0.42025357484817505,0.656882107257843,6.249426969086398e-05
24,0.177338831520238,0.28030933444193024,0.4183480441570282,0.6716929078102112,4.705873624962904e-05
25,0.15149149938630743,0.31464917114573326,0.41211122274398804,0.6579422950744629,3.3364293015689885e-05
26,0.13028508041496753,0.3325583231217133,0.42827820777893066,0.6661633849143982,2.1716851221506378e-05
27,0.10967992912499415,0.35924789113198924,0.42322394251823425,0.6591758728027344,1.2376595469942482e-05
28,0.09463739704464426,0.3810112614653068,0.42519325017929077,0.6562339067459106,5.552171640180041e-06
29,0.08459394854777047,0.39698517211004647,0.4225568473339081,0.655620276927948,1.3960260835550847e-06
30,0.08008452874122739,0.4041014522938671,0.4215278625488281,0.6532038450241089,1.0002239787999826e-09
